EventID	캐릭터	대사	음향효과	화면연출
Prologue_01		쿵… 쿵. 쿵쿵… 		(검은 배경)
Prologue_01		쿠궁... 쿵...   쿵. 쿵쿵...		
Prologue_01	주인공	으…	(부스럭거리는 사운드)	
Prologue_01		드르륵… 쿵.		
Prologue_01	주인공	시끄러워…		
Prologue_01		쿵… 퍽! 끼익-…		
Prologue_01	주인공	…		
Prologue_01		…		
Prologue_01	주인공	좀 조용해졌나…		
Prologue_01		쿠궁... 쿵...   쿵. 쿵쿵...		
Prologue_01	주인공	… 하아.		
Prologue_01	주인공	"으윽, 잠 좀 자자… 새벽 두 시에 이게 뭐하는 짓이야…"		
Prologue_01		쿠구궁… 쿵. 쿵쿵…		
Prologue_01	주인공	아악!!!		
Prologue_01	주인공	"…후우. 606호, 딱 기다려…"		
Prologue_01	주인공	잠 못 자는 나날도 오늘로 마지막이다. 이사 온 후로 벌써 3일째면 많이 참았지. 		
Prologue_01	주인공	…	(옷 입는 사운드)	
Prologue_01	주인공	빈 손으로 가기는 뭐하니까 이사 떡이라도 챙길까. 무서운 사람일 수도 있고…		
Prologue_01	주인공	금강산도 식후경이라잖아.		
Prologue_01			(문이 열리는 사운드)	
Prologue_01			(걸어가는 사운드)	
Prologue_01				(606호 문)
Prologue_01	주인공	후.		
Prologue_01			(초인종 소리)	
Prologue_01		쿵!	(떨어지는 사운드)	
Prologue_01	주인공	"아, 깜짝이야. 저기요, 506호인데요…"		
Prologue_01			(문이 열리는 사운드)	
Prologue_01			(오프닝 bgm)	
Prologue_01	주인공	저기요? 문 열어두시고 뭐하시는…		
Prologue_01				(문에서 가시덩굴이 뻗어나온다)
Prologue_01	주인공	…덩굴…?		
Prologue_01	???	"…아, 아아안녕하세, 윽…"		
Prologue_01	주인공	네…?		
Prologue_01				(장미희 등장)
Prologue_01	???	안녕…하세요…		
Prologue_01	주인공	"네, 네… 네?"		
Prologue_01				(타이틀 화면 '606호에 어서오세요' 삽입)
Prologue_01		1. 606호에 어서오세요		
Prologue_01	???	아.. 안녕하시냐구요…		
Prologue_01	주인공	"아, 아하. 잠을 못 잤더니 헛것을 다 보네."		
Prologue_01	???	…		
Prologue_01	주인공	…		
Prologue_01	???	…... 		
Prologue_01	주인공	…...아. 안녕하냐구요…?		
Prologue_01	???	…네…		
Prologue_01	주인공	저는 안녕하죠… 		
Prologue_01	???	네…		
Prologue_01	주인공	"그… 음, 저 아랫집 506호에 이사왔는데요, 새벽마다 너무 시끄러워서…"		
Prologue_01	???	"아! 앗,… 네…"		
Prologue_01	주인공	왜 기뻐하시는…?		
Prologue_01	???	!…		
Prologue_01	주인공	"어, 어쨌든 그래서 제가 사흘째 잠을 못 잤어요… "		
Prologue_01	???	아…		
Prologue_01	주인공	새벽만 되면 크게 움직이시는 이유라도 있을까요? 저 너무 자고싶은데…		
Prologue_01	???	…먹을 걸 찾느라…		
Prologue_01	주인공	"먹을 거요? 으, 음식…? 아니면 다른...?"		
Prologue_01	???	음식! 이요… 		
Prologue_01	주인공	음식이구나… 어떤…?		
Prologue_01	???	…?		
Prologue_01	주인공	"아, 아하하..."		
